player_name,tf_season,days_remaining
Ljubomir Fejsa,2019,518.0
Andreas Samaris,2021,668.0
Danilo Barbosa,2016,157.0
Filipe Augusto,2018,1247.0
Filipe Augusto,2017,1617.0
Guillermo Celis,2017,1443.0
Guillermo Celis,2016,1611.0
André Carrillo,2019,708.0
André Carrillo,2018,1076.0
André Carrillo,2017,1406.0
André Horta,2018,1086.0
André Horta,2017,1400.0
Pizzi,2022,338.0
Pizzi,2021,507.0
Pizzi,2013,3624.0
Franco Cervi,2021,725.0
Eduardo Salvio,2019,1078.0
Eduardo Salvio,2010,0.0
Andrija Zivkovic,2020,295.0
Gonçalo Guedes,2022,0.0
Gonçalo Guedes,2016,1617.0
Jonas,2019,357.0
Raúl Jiménez,2019,730.0
Raúl Jiménez,2018,730.0
Konstantinos Mitroglou,2017,1034.0
Konstantinos Mitroglou,2015,0.0
Luka Jović,2019,730.0
Luka Jović,2017,1460.0
Bruno Varela,2020,680.0
Bruno Varela,2019,1095.0
Bruno Varela,2018,1248.0
Bruno Varela,2016,729.0
Mile Svilar,2022,
Paulo Lopes,2018,
Paulo Lopes,2002,
Paulo Lopes,2099,
Júlio César,2017,214.0
Rúben Dias,2020,1370.0
Lisandro López,2019,546.0
Lisandro López,2018,882.0
Lisandro López,2018,1057.0
Lisandro López,2017,1262.0
Lisandro López,2013,1763.0
Jardel,2021,
Luisão,2018,278.0
Eliseu,2018,
André Almeida,2022,
André Almeida,2011,4379.0
Douglas,2017,0.0
Ljubomir Fejsa,2020,279.0
Ljubomir Fejsa,2019,518.0
Andreas Samaris,2021,668.0
Filipe Augusto,2018,1247.0
Filipe Augusto,2017,1617.0
Martin Chrien,2017,1641.0
Pizzi,2022,338.0
Pizzi,2021,507.0
Pizzi,2013,3624.0
Filip Krovinovic,2021,345.0
Filip Krovinovic,2020,524.0
Filip Krovinovic,2020,639.0
Filip Krovinovic,2019,1091.0
João Carvalho,2018,1095.0
Franco Cervi,2021,725.0
Eduardo Salvio,2019,1078.0
Eduardo Salvio,2010,0.0
Andrija Zivkovic,2020,295.0
Diogo Gonçalves,2022,907.0
Diogo Gonçalves,2019,1095.0
Diogo Gonçalves,2018,2556.0
Jonas,2019,357.0
Raúl Jiménez,2019,730.0
Raúl Jiménez,2018,730.0
Gabriel,2017,157.0
Haris Seferovic,2022,516.0
Haris Seferovic,2022,711.0
Bruno Varela,2020,680.0
Bruno Varela,2019,1095.0
Bruno Varela,2018,1248.0
Bruno Varela,2016,729.0
Mile Svilar,2022,
Ivan Zlobin,2020,1408.0
Rúben Dias,2020,1370.0
Ferro,2022,501.0
Ferro,2022,716.0
Ferro,2021,881.0
Ferro,2020,1246.0
Germán Conti,2022,151.0
Germán Conti,2021,540.0
Germán Conti,2020,833.0
Germán Conti,2019,1276.0
Cristian Lema,2020,1001.0
Cristian Lema,2019,1451.0
Cristian Lema,2018,1604.0
Jardel,2021,
Yuri Ribeiro,2019,1453.0
André Almeida,2022,
André Almeida,2011,4379.0
Sébastien Corchia,2018,0.0
Tyronne Ebuehi,2019,1398.0
Florentino,2021,1034.0
Florentino,2020,2469.0
Andreas Samaris,2021,668.0
Ljubomir Fejsa,2020,279.0
Ljubomir Fejsa,2019,518.0
Alfa Semedo,2021,701.0
Alfa Semedo,2020,999.0
Alfa Semedo,2019,1453.0
Alfa Semedo,2018,1611.0
Gedson Fernandes,2022,1095.0
Gedson Fernandes,2021,1243.0
Gedson Fernandes,2020,879.0
Gedson Fernandes,2019,1262.0
Gabriel Pires,2022,688.0
Gabriel Pires,2021,1006.0
Adel Taarabt,2022,279.0
Adel Taarabt,2018,730.0
Adel Taarabt,2016,1267.0
Pizzi,2022,338.0
Pizzi,2021,507.0
Pizzi,2013,3624.0
Filip Krovinovic,2021,345.0
Filip Krovinovic,2020,524.0
Filip Krovinovic,2020,639.0
Filip Krovinovic,2019,1091.0
Franco Cervi,2021,725.0
Jota,2022,730.0
Jota,2021,1034.0
Jota,2020,1364.0
Andrija Zivkovic,2020,295.0
Eduardo Salvio,2019,1078.0
Eduardo Salvio,2010,0.0
João Félix,2019,1458.0
Jonas,2019,357.0
Haris Seferovic,2022,516.0
Haris Seferovic,2022,711.0
Nicolás Castillo,2018,1611.0
Facundo Ferreyra,2020,514.0
Facundo Ferreyra,2018,1246.0
Mile Svilar,2022,
Ivan Zlobin,2020,1408.0
Rúben Dias,2020,1370.0
Ferro,2022,501.0
Ferro,2022,716.0
Ferro,2021,881.0
Ferro,2020,1246.0
Germán Conti,2022,151.0
Germán Conti,2021,540.0
Germán Conti,2020,833.0
Germán Conti,2019,1276.0
Jardel,2021,
Nuno Tavares,2021,1086.0
Tomás Tavares,2022,523.0
Tomás Tavares,2021,1034.0
Tomás Tavares,2020,1259.0
Tomás Tavares,2020,1366.0
André Almeida,2022,
André Almeida,2011,4379.0
Tyronne Ebuehi,2019,1398.0
Julian Weigl,2022,668.0
Florentino,2021,1034.0
Florentino,2020,2469.0
Andreas Samaris,2021,668.0
